service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20220828,20230219
11,0,0,0,0,0,0,0,20220828,20230219
12,0,0,0,0,0,1,0,20220828,20230219
13,0,0,0,0,0,0,1,20220828,20230219
16,1,1,1,1,1,0,0,20220828,20230219
17,0,0,0,0,0,0,0,20220828,20230219
18,0,0,0,0,0,1,0,20220828,20230219
19,0,0,0,0,0,0,1,20220828,20230219
22,1,1,1,1,1,0,0,20220828,20230219
23,0,0,0,0,0,0,0,20220828,20230219
24,0,0,0,0,0,1,0,20220828,20230219
25,0,0,0,0,0,0,1,20220828,20230219
28,1,1,1,1,1,0,0,20220828,20230219
29,0,0,0,0,0,0,0,20220828,20230219
30,0,0,0,0,0,1,0,20220828,20230219
31,0,0,0,0,0,0,1,20220828,20230219
40,1,1,1,1,1,0,0,20220828,20230219
41,0,0,0,0,0,0,0,20220828,20230219
42,0,0,0,0,0,1,0,20220828,20230219
43,0,0,0,0,0,0,1,20220828,20230219
46,1,1,1,1,1,0,0,20220828,20230219
47,0,0,0,0,0,0,0,20220828,20230219
48,0,0,0,0,0,1,0,20220828,20230219
49,0,0,0,0,0,0,1,20220828,20230219
52,1,1,1,1,1,0,0,20220828,20230219
53,0,0,0,0,0,0,0,20220828,20230219
54,0,0,0,0,0,1,0,20220828,20230219
55,0,0,0,0,0,0,1,20220828,20230219
