service_id,date,exception_type
10,20220905,2
13,20220905,1
16,20220905,2
19,20220905,1
22,20220905,2
25,20220905,1
28,20220905,2
31,20220905,1
40,20220905,2
43,20220905,1
46,20220905,2
49,20220905,1
52,20220905,2
55,20220905,1
10,20221124,2
13,20221124,1
16,20221124,2
19,20221124,1
22,20221124,2
25,20221124,1
28,20221124,2
31,20221124,1
40,20221124,2
43,20221124,1
46,20221124,2
49,20221124,1
52,20221124,2
55,20221124,1
10,20221125,2
11,20221125,1
16,20221125,2
17,20221125,1
22,20221125,2
23,20221125,1
28,20221125,2
29,20221125,1
40,20221125,2
41,20221125,1
46,20221125,2
47,20221125,1
52,20221125,2
53,20221125,1
10,20221226,2
11,20221226,1
16,20221226,2
17,20221226,1
22,20221226,2
23,20221226,1
28,20221226,2
29,20221226,1
40,20221226,2
41,20221226,1
46,20221226,2
47,20221226,1
52,20221226,2
53,20221226,1
10,20230102,2
13,20230102,1
16,20230102,2
19,20230102,1
22,20230102,2
25,20230102,1
28,20230102,2
31,20230102,1
40,20230102,2
43,20230102,1
46,20230102,2
49,20230102,1
52,20230102,2
55,20230102,1
10,20230116,2
11,20230116,1
16,20230116,2
17,20230116,1
22,20230116,2
23,20230116,1
28,20230116,2
29,20230116,1
40,20230116,2
41,20230116,1
46,20230116,2
47,20230116,1
52,20230116,2
53,20230116,1
10,20230220,2
11,20230220,1
16,20230220,2
17,20230220,1
22,20230220,2
23,20230220,1
28,20230220,2
29,20230220,1
40,20230220,2
41,20230220,1
46,20230220,2
47,20230220,1
52,20230220,2
53,20230220,1
